Datetime,Latitude,Longitude,Elevation,Pressure,Speed,Bearing
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,1.5,850,20.3,254
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,1.9,800,20.3,254
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,3.0,700,20.0,254
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,4.2,600,22.7,232
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,5.6,500,39.7,245
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,7.2,400,89.3,276
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,9.2,300,157.2,284
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,10.4,250,153.1,285
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,11.8,200,135.7,285
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,13.5,150,110.0,284
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,15.8,100,125.5,285
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,17.7,70,144.1,285
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,19.3,50,142.7,290
2025-03-08 23:00:00,73.80864140933205,-33.06029387883235,22.0,30,110.0,298
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,0.11,1000,21.1,233
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,0.32,975,21.1,234
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,0.5,950,21.1,234
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,0.8,925,21.0,234
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,1.0,900,20.9,233
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,1.5,850,21.1,233
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,1.9,800,21.1,234
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,3.0,700,20.9,233
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,4.2,600,29.0,230
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,5.6,500,54.5,262
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,7.2,400,112.5,277
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,9.2,300,184.8,283
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,10.4,250,173.8,285
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,11.8,200,140.9,286
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,13.5,150,111.6,282
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,15.8,100,126.6,283
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,17.7,70,144.1,285
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,19.3,50,139.3,290
2025-03-09 00:00:00,73.77020271880063,-33.257225440937916,22.0,30,108.4,296
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,0.11,1000,20.5,239
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,0.32,975,20.6,239
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,0.5,950,20.6,240
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,0.8,925,20.6,239
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,1.0,900,20.8,240
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,1.5,850,20.6,239
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,1.9,800,20.8,240
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,3.0,700,20.9,240
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,4.2,600,29.1,232
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,5.6,500,55.4,265
